ingr_id,catalogPhoto,name,relativeUrl
13420,https://s1.eda.ru/StaticContent/Photos/120131082957/120328163303/p_O.jpg,Молотый черный перец,/wiki/ingredienty/specii-pripravy/chernyy-perec-goroshkom-13737#13420
13804,,Консервированная фасоль,/wiki/ingredienty/krupy-bobovye-muka/konservirovannaja-fasol-13804
13421,https://s1.eda.ru/StaticContent/Photos/120131083019/120521142536/p_O.jpg,Соль,/wiki/ingredienty/specii-pripravy/sol-13421
13427,https://s1.eda.ru/StaticContent/Photos/120213175233/120327153747/p_O.jpg,Лимон,/wiki/ingredienty/frukty-yagody/limoni-13427
13430,https://s1.eda.ru/StaticContent/Photos/120131083826/120327133119/p_O.jpg,Чеснок,/wiki/ingredienty/ovoschi-korneplody/chesnok-13430
13513,https://s1.eda.ru/StaticContent/Photos/120328144247/120329173953/p_O.jpg,Оливковое масло,/wiki/ingredienty/bakaleya/olivkovoe-maslo-13513
13888,https://s1.eda.ru/StaticContent/Photos/120131085017/120328172047/p_O.jpg,Рукола,/wiki/ingredienty/zelen-travy/rukkola-13888
16937,,Творожный сыр,/wiki/ingredienty/molochnye-produkty-yayca/tvorozhnij-sir-16937
13643,https://s1.eda.ru/StaticContent/Photos/120328144247/120329174805/p_O.jpg,Красный лук,/wiki/ingredienty/ovoschi-korneplody/krasnyy-luk-13643
13418,https://s1.eda.ru/StaticContent/Photos/120304025019/120328131034/p_O.jpg,Куриное яйцо,/wiki/ingredienty/molochnye-produkty-yayca/kurinoe-yayco-13418
14341,https://s1.eda.ru/StaticContent/Photos/120304025019/120328133019/p_O.jpg,Мягкий творог,/wiki/ingredienty/molochnye-produkty-yayca/tvorog-13493#14341
13458,https://s1.eda.ru/StaticContent/Photos/120131085333/120403130155/p_O.jpg,Пшеничная мука,/wiki/ingredienty/krupy-bobovye-muka/pshenichnaya-muka-13458
13410,https://s1.eda.ru/StaticContent/Photos/120304025019/120328130714/p_O.jpg,Сахар,/wiki/ingredienty/bakaleya/sahar-13410
13464,https://s1.eda.ru/StaticContent/Photos/120304025019/120328132117/p_O.jpg,Бекон,/wiki/ingredienty/myaso-myasnaya-gastronomiya/bekon-13464
13454,https://s1.eda.ru/StaticContent/Photos/120131083853/130107115851/p_O.jpg,Белый хлеб,/wiki/ingredienty/bakaleya/belij-hleb-13454
14335,https://s1.eda.ru/StaticContent/Photos/120214124236/120328183602/p_O.jpg,Сыр эдам,/wiki/ingredienty/syry/sir-jedam-14335
13439,https://s1.eda.ru/StaticContent/Photos/120213175629/120327163412/p_O.jpg,Помидоры,/wiki/ingredienty/ovoschi-korneplody/pomidori-13439
13440,https://s1.eda.ru/StaticContent/Photos/120304025019/120328131507/p_O.jpg,Майонез,/wiki/ingredienty/bakaleya/majonez-13440
13412,https://s1.eda.ru/StaticContent/Photos/120131111936/120902211454/p_O.jpg,Сливочное масло,/wiki/ingredienty/molochnye-produkty-yayca/slivochnoe-maslo-13412
14289,https://s1.eda.ru/StaticContent/Photos/120304025019/120327190509/p_O.jpg,Листья латука,/wiki/ingredienty/zelen-travy/zelenyy-salat-13414#14289
13604,https://s1.eda.ru/StaticContent/Photos/120304025019/120327175138/p_O.jpg,Авокадо,/wiki/ingredienty/frukty-yagody/avokado-13604
15037,,Цельнозерновой хлеб,/wiki/ingredienty/bakaleya/celnozernovoj-hle-15037
13422,https://s1.eda.ru/StaticContent/Photos/120304025019/120328131142/p_O.jpg,Уксус,/wiki/ingredienty/bakaleya/uksus-13422
14276,https://s1.eda.ru/StaticContent/Photos/121010154332/121011203317/p_O.jpg,Тортильи,/wiki/ingredienty/gotovye-produkty/tortili-14276
19544,,Сыр моцарелла для пиццы,/wiki/ingredienty/syry/sir-mocarella-dlja-picci-19544
15370,https://s1.eda.ru/StaticContent/Photos/120328144247/120328194239/p_O.jpg,Порошок чили,/wiki/ingredienty/specii-pripravy/sushenyy-perec-chili-16138#15370
13591,,Консервированная кукуруза,/wiki/ingredienty/ovoschi-korneplody/svezhaya-kukuruza-14416#13591
